序号,共有人名称,Column-2,Column-3,Column-4,Column-5
申请/注册号,32142518,申请日期,2018年07月09日,国际分类,16
申请人名称（中文）,重庆同诚众悦投资管理有限公司,重庆同诚众悦投资管理有限公司,重庆同诚众悦投资管理有限公司,重庆同诚众悦投资管理有限公司,重庆同诚众悦投资管理有限公司
申请人名称（英文）,,,,,
申请人地址（中文）,重庆市北部新区泰山大道西段2号4幢2-1,重庆市北部新区泰山大道西段2号4幢2-1,重庆市北部新区泰山大道西段2号4幢2-1,重庆市北部新区泰山大道西段2号4幢2-1,重庆市北部新区泰山大道西段2号4幢2-1
申请人地址（英文）,,,,,
初审公告期号,1629,注册公告期号,,是否共有商标,否
初审公告日期,2018年12月27日,注册公告日期,,商标类型,一般
专用权期限,,,,商标形式,
国际注册日期,,后期指定日期,,优先权日期,
代理/办理机构,重庆西南商标事务所有限公司,重庆西南商标事务所有限公司,重庆西南商标事务所有限公司,重庆西南商标事务所有限公司,重庆西南商标事务所有限公司
商标流程,点击查看,,,,
商标状态图标,"LIVE/APPLICATION/Awaiting Examination
等待实质审查","LIVE/APPLICATION/Awaiting Examination
等待实质审查","LIVE/APPLICATION/Awaiting Examination
等待实质审查","LIVE/APPLICATION/Awaiting Examination
等待实质审查","LIVE/APPLICATION/Awaiting Examination
等待实质审查"
仅供参考，不具有法律效力,仅供参考，不具有法律效力,仅供参考，不具有法律效力,仅供参考，不具有法律效力,仅供参考，不具有法律效力,仅供参考，不具有法律效力
